"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.964070162E0,1.899154037E-1,2.358865738E-2,1.005659103E-1
1.972047154E0,1.945820749E-1,2.203321457E-2,3.903388977E-3
1.980025670E0,1.597957164E-1,1.047134399E-2,-1.212482452E-1
1.988005670E0,1.242427528E-1,1.822042465E-2,-2.369308472E-1
1.995985162E0,9.785627574E-2,1.248550415E-2,-3.292226791E-1
2.003962389E0,1.096089557E-1,-6.318092346E-3,-3.744268417E-1
2.011941100E0,1.071734056E-1,-3.300333023E-2,-3.775777817E-1
2.019920279E0,8.569265902E-2,-1.013612747E-2,-3.195095062E-1
2.027896959E0,8.865589648E-2,-1.467800140E-2,-2.430944443E-1
2.035870943E0,1.059799641E-1,5.511760712E-3,-1.384334564E-1
2.043850045E0,1.477802992E-1,2.010345459E-3,-4.349517822E-2
2.051826256E0,1.519007236E-1,-1.740932465E-3,5.161762238E-2
2.059803756E0,1.706710458E-1,-1.115560532E-2,1.233320236E-1
2.067782623E0,2.233208418E-1,2.479076385E-3,1.189966202E-1
2.075760475E0,2.037481070E-1,1.991033554E-2,1.056900024E-1
2.083741178E0,1.172948405E-1,3.633117676E-2,3.554916382E-2
2.091721764E0,4.060658813E-2,-5.577087402E-3,-5.292892456E-4
2.099700279E0,1.434415579E-3,-3.823375702E-2,-2.684307098E-2
2.107681529E0,9.012743831E-3,-1.854133606E-2,2.842140198E-2
2.115663717E0,5.967383087E-2,2.010869980E-2,9.338855743E-2
2.123643834E0,1.059828773E-1,3.929424286E-2,1.058902740E-1
2.131621295E0,1.529812217E-1,5.773782730E-2,1.236639023E-1
2.139596803E0,1.672483683E-1,5.207586288E-2,1.032533646E-1
2.147571568E0,1.248753592E-1,2.691459656E-2,3.041553497E-2
2.155548678E0,6.347163022E-2,2.555418015E-2,-8.063793182E-2
2.163527115E0,3.089563549E-2,2.903747559E-2,-1.294622421E-1
2.171505631E0,7.350221276E-3,9.212970734E-3,-1.834850311E-1
2.179482232E0,-2.286657691E-3,2.375698090E-2,-2.188930511E-1
2.187461685E0,2.121362090E-2,3.461122513E-2,-2.166929245E-1
2.195443600E0,6.403540075E-2,1.302576065E-2,-1.433372498E-1
2.203426451E0,1.021396518E-1,3.036785126E-2,-1.182594299E-1
2.211407037E0,1.205791309E-1,2.852296829E-2,-8.359241486E-2
2.219386959E0,1.579870731E-1,3.588438034E-2,5.186176300E-2
2.227367428E0,2.148528695E-1,2.799749374E-2,8.732414246E-2
2.235350318E0,2.530860007E-1,-9.420394897E-3,1.041536331E-1
2.243332389E0,2.431539595E-1,-2.360773087E-2,8.791351318E-2
2.251309459E0,2.142126560E-1,-3.356122971E-2,6.724166870E-2
2.259287232E0,1.614472866E-1,-3.403615952E-2,-6.033897400E-3
2.267271725E0,1.131448746E-1,-1.538133621E-2,-1.080274582E-1
2.275258912E0,1.030802950E-1,-1.296997070E-3,-1.574831009E-1
2.283245006E0,1.266505569E-1,2.745676041E-2,-1.544523239E-1
2.291232271E0,1.597311348E-1,4.260826111E-2,-2.141571045E-1
2.299220787E0,1.602696180E-1,3.507947922E-2,-2.842206955E-1
2.307205709E0,1.563961506E-1,1.930856705E-2,-3.311853409E-1
2.315188717E0,1.575800925E-1,-4.732131958E-3,-3.694028854E-1
2.323173287E0,1.301603168E-1,-8.615970612E-3,-3.986797333E-1
2.331160748E0,1.309492737E-1,-6.885528564E-3,-3.470945358E-1
2.339148131E0,1.361716837E-1,-1.865673065E-2,-2.386093140E-1
2.347135123E0,1.506724954E-1,-3.967618942E-2,-1.207609177E-1
2.355123560E0,1.554565132E-1,-4.644346237E-2,-2.199649811E-2
2.363106412E0,1.454601735E-1,-6.837844849E-2,8.684635162E-2
2.371086646E0,1.543539762E-1,-7.698726654E-2,1.580400467E-1
2.379061451E0,1.674062014E-1,-3.923416138E-2,1.248445511E-1
2.387039264E0,1.983550340E-1,-2.514839172E-3,9.227848053E-2
2.395016920E0,1.946962178E-1,-4.890918732E-3,8.413696289E-2
2.402996217E0,2.003403455E-1,-2.672910690E-2,1.001272202E-1
2.410976607E0,1.636548787E-1,-3.875637054E-2,5.373573303E-2
2.418955435E0,1.416676491E-1,-7.556438446E-3,-1.666927338E-2
2.426935475E0,1.242582500E-1,-1.447248459E-2,-1.015625000E-1
2.434914068E0,1.309000254E-1,-6.515979767E-3,-1.628379822E-1
2.442889654E0,1.614785641E-1,2.145767212E-3,-2.149829865E-1
2.450865357E0,1.729286164E-1,1.646518707E-3,-2.099342346E-1
2.458845475E0,1.990161240E-1,1.569700241E-2,-1.235942841E-1
2.466820045E0,2.206847817E-1,3.462457657E-2,-3.730201721E-2
2.474798639E0,1.949810088E-1,2.913093567E-2,-1.294422150E-2
2.482776607E0,1.410313994E-1,4.015922546E-3,-6.010055542E-2
2.490756451E0,9.747208655E-2,-1.960277557E-3,-7.849884033E-2
2.498734576E0,6.903510541E-2,1.839160919E-3,-1.161718369E-1
2.506713756E0,5.516118556E-2,-1.751041412E-2,-1.591300964E-1
2.514689654E0,3.615355492E-2,2.347946167E-3,-1.643686295E-1
2.522665904E0,3.140373528E-2,2.757358551E-2,-1.364583969E-1
2.530645006E0,6.488367915E-2,4.372358322E-2,-8.493041992E-2
2.538624459E0,1.216987818E-1,6.036949158E-2,-6.724834442E-2
2.546607467E0,1.395569444E-1,4.838562012E-2,1.260662079E-2
2.554585670E0,1.526933461E-1,3.114700317E-2,1.406507492E-1
2.562564732E0,1.327319145E-1,2.236986160E-2,1.784305573E-1
2.570543560E0,1.131632999E-1,2.336978912E-3,1.550426483E-1
2.578528209E0,5.571852624E-2,-4.276466370E-2,1.180191040E-1
2.586509576E0,2.751374245E-2,-5.055904388E-2,3.854560852E-2
2.594495826E0,1.797170937E-2,-6.279516220E-2,-7.467269897E-2
2.602482701E0,3.759498149E-2,-5.543613434E-2,-1.354923248E-1
2.610468365E0,1.099110097E-1,-1.351404190E-2,-1.299419403E-1
2.618452545E0,1.535954028E-1,1.002645493E-2,-1.296758652E-1
2.626430514E0,1.536516696E-1,-8.930206299E-3,-1.537418365E-1
2.634416021E0,1.628045589E-1,-1.274299622E-2,-1.400089264E-1
2.642399264E0,1.049466729E-1,-2.986383438E-2,-7.907009125E-2
2.650379928E0,5.153291672E-2,-4.662466049E-2,-6.146144867E-2
2.658359810E0,4.050911963E-2,-5.854845047E-2,4.708194733E-2
2.666345396E0,9.666340798E-2,-1.868772507E-2,1.753520966E-1
2.674330475E0,1.526807696E-1,-1.814174652E-2,2.084960938E-1
2.682318600E0,2.047923654E-1,-3.325843811E-2,1.610832214E-1
2.690303053E0,2.090604007E-1,-2.480077744E-2,5.165481567E-2
2.698285514E0,1.847821176E-1,-2.128982544E-2,-4.993438721E-3
2.706265435E0,1.464433372E-1,1.363754272E-3,-4.726505280E-2
2.714245240E0,8.505378664E-2,-4.324626923E-2,-5.585956573E-2
2.722226646E0,3.383856267E-2,-5.869531631E-2,-1.700572968E-1
2.730208678E0,-7.239446044E-3,-4.934644699E-2,-2.129726410E-1
2.738190201E0,-3.329041600E-2,-4.428100586E-2,-2.130994797E-1
2.746171100E0,7.415682077E-3,-1.378059387E-4,-1.993618011E-1
2.754154615E0,5.699191242E-2,3.011035919E-2,-2.146654129E-1
2.762138287E0,6.750175357E-2,2.744817734E-2,-2.064294815E-1
2.770122037E0,3.981252015E-2,1.556491852E-2,-1.840572357E-1
2.778105162E0,2.234466374E-2,-9.350776672E-4,-2.623319626E-1
2.786093365E0,2.980886400E-2,-1.691675186E-2,-3.552837372E-1
2.794081490E0,2.326002717E-2,-3.671550751E-2,-3.435010910E-1
2.802064498E0,3.159429133E-2,-7.456207275E-2,-2.653703690E-1
2.810051998E0,6.429317594E-2,-7.313966751E-2,-2.117767334E-1
2.818037154E0,9.671819955E-2,-6.622886658E-2,-1.538362503E-1
2.826022896E0,1.332815140E-1,-5.422925949E-2,-1.468944550E-2
2.834010201E0,1.496805698E-1,-8.086490631E-2,1.246566772E-1
2.841998482E0,1.458515227E-1,-5.542516708E-2,1.877450943E-1
2.849983482E0,1.360898465E-1,-1.692008972E-2,3.090963364E-1
2.857967350E0,1.212158203E-1,-1.851749420E-2,3.214397430E-1
2.865952935E0,1.441952586E-1,-1.686906815E-2,2.916536331E-1
2.873941060E0,1.373057961E-1,-3.088808060E-2,2.387161255E-1
2.881923912E0,1.251552105E-1,-2.675819397E-2,2.199192047E-1
2.889907154E0,1.227288470E-1,-2.317428589E-2,1.057043076E-1
2.897898717E0,9.133870155E-2,-5.310964584E-2,2.979183197E-2
2.905885279E0,9.352189302E-2,-5.877065659E-2,2.549839020E-2
2.913871256E0,1.247746795E-1,-2.968883514E-2,1.292228699E-3
2.921860045E0,1.419983506E-1,-9.696483612E-3,-1.842975616E-2
2.929845435E0,1.981198937E-1,2.515220642E-2,3.337764740E-2
2.937827193E0,2.074158490E-1,4.564523697E-2,5.647087097E-2
2.945819107E0,1.697189957E-1,3.338336945E-3,6.077766418E-2
2.953808600E0,8.985373378E-2,-4.457092285E-2,3.361701965E-3
2.961796998E0,3.876973689E-2,-5.008983612E-2,-5.360889435E-2
